objectid,parentid,anthology,title,creator,date,subject,startpage,genre,publisher,display_template,object_location,image_small,image_thumb,location,latitude,longitude,authorbio,authorborn
blacklesbianauthor246,anthology010,Home Girls: A Black Feminist Anthology (40th anniversary edition),"If I Could Write This in Fire, I Would Write This in Fire ",Michelle Cliff,1983,,17,essay,,image/jpeg,/objects/blacklesbianauthor246.jpeg,/object/small/blacklesbianauthor246_sm.jpeg,/objects/thumbs/blacklesbianauthor246_th.jpeg,,,,,
blacklesbianauthor247,anthology010,Home Girls: A Black Feminist Anthology (40th anniversary edition),Where Will You Be?,Pat Parker,1978,,237,poem,,image/jpeg,/objects/blacklesbianauthor247.jpeg,/object/small/blacklesbianauthor247_sm.jpeg,/objects/thumbs/blacklesbianauthor247_th.jpeg,,,,,
blacklesbianauthor248,anthology010,Home Girls: A Black Feminist Anthology (40th anniversary edition),LeRoy's Birthday,Raymina Y. Mays,1982,,187,short story,,image/jpeg,/objects/blacklesbianauthor248.jpeg,/object/small/blacklesbianauthor248_sm.jpeg,/objects/thumbs/blacklesbianauthor248_th.jpeg,,,,,
blacklesbianauthor249,anthology010,Home Girls: A Black Feminist Anthology (40th anniversary edition),Black Lesbian/Feminist Organizing: A Conversation,Tania Abdulahad; Gwendolyn Rogers; Barbara Smith; Jameelah Waheed,1983,,331,conversation,,image/jpeg,/objects/blacklesbianauthor249.jpeg,/object/small/blacklesbianauthor249_sm.jpeg,/objects/thumbs/blacklesbianauthor249_th.jpeg,,,,,
blacklesbianauthor250,anthology010,Home Girls: A Black Feminist Anthology (40th anniversary edition),"For a Godchild, Regina, On the Occasion of Her First Love",Toi Derricotte,1979,,3,poem,,image/jpeg,/objects/blacklesbianauthor250.jpeg,/object/small/blacklesbianauthor250_sm.jpeg,/objects/thumbs/blacklesbianauthor250_th.jpeg,,,,,
blacklesbianauthor251,anthology010,Home Girls: A Black Feminist Anthology (40th anniversary edition),The Damned,Toi Derricotte,1983,,7,poem,,image/jpeg,/objects/blacklesbianauthor251.jpeg,/object/small/blacklesbianauthor251_sm.jpeg,/objects/thumbs/blacklesbianauthor251_th.jpeg,,,,,
blacklesbianauthor252,anthology010,Home Girls: A Black Feminist Anthology (40th anniversary edition),Hester's Song,Toi Derricotte,1983,,9,poem,,image/jpeg,/objects/blacklesbianauthor252.jpeg,/object/small/blacklesbianauthor252_sm.jpeg,/objects/thumbs/blacklesbianauthor252_th.jpeg,,,,,
blacklesbianauthor253,anthology010,Home Girls: A Black Feminist Anthology (40th anniversary edition),The Black Back-Ups,Kate Rushin,1983,,71,poem,,image/jpeg,/objects/blacklesbianauthor253.jpeg,/object/small/blacklesbianauthor253_sm.jpeg,/objects/thumbs/blacklesbianauthor253_th.jpeg,,,,,
blacklesbianauthor254,anthology010,Home Girls: A Black Feminist Anthology (40th anniversary edition),A Black Feminist Statement/The Combahee River Collective Statement,Combahee River Collective,1979,,307,manifesto,,image/jpeg,/objects/blacklesbianauthor254.jpeg,/object/small/blacklesbianauthor254_sm.jpeg,/objects/thumbs/blacklesbianauthor254_th.jpeg,,,,,
blacklesbianauthor255,anthology010,Home Girls: A Black Feminist Anthology (40th anniversary edition),Preface to the 40th Anniversary Edition,Barbara Smith,2023,,-11,preface,,image/jpeg,/objects/blacklesbianauthor255.jpeg,/object/small/blacklesbianauthor255_sm.jpeg,/objects/thumbs/blacklesbianauthor255_th.jpeg,,,,,
