Title,FirstName,LastName,Genre,Anthology01,Anth01Year,Anth01StartPage,Anth01Editor,Anth01Press,Anthology02,Anth02Year,Anth02StartPage,Anth02Editor,Anth02Press,Anthology03,Anth03Year,Anth03StartPage,Anth02Editor,Anth03Press,AuthorBio,AuthorBorn,AuthorPhoto
The Making of an Orphan: the death of a daughter's place in the family,sherece,taffe,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,237,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
Q & A,Karen,Thompson,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,223,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
untitled,Nailah Taliba,Tulinegwe,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,265,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
From a Lesbian Womb Into a Lesbian World: Coming Out,Laura Irene,Wayne,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,103,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
Class Reunion,Liza,Wesley,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,73,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
Letter to Carolyn,Michelle,Wilkinson,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,161,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
A Letter for Life,Arlene,Williams,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,17,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
No Half Steppin',Shilanda,Woolridge,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,203,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
Mothers Know,Shay,Youngblood,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,197,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
notes to mamma,akhaji,zakiya,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,209,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
the lesbian poem,akhaji,zakiya,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,261,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
cabaret,mistinguette,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,71,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
You ask why I stayed married all those years,mistinguette,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,293,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
Brownness,Andrea,Canaan,,This Bridge Called My Back: Writings By Radical Women of Color (4ed),2015,232,Cherríe Moraga and Gloria Anzaldúa,SUNY Press,,,,,,,,,,,,,
The Black Back-Ups,Kate,Rushin,,This Bridge Called My Back: Writings By Radical Women of Color (4ed),2015,78,Cherríe Moraga and Gloria Anzaldúa,SUNY Press,Home Girls: A Black Feminist Anthology ,1983,60,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,
The Tired Poem: Last Letter From a Typical (Unemployed) Black Professional Woman,Kate,Rushin,,This Bridge Called My Back: Writings By Radical Women of Color (4ed),2015,106,Cherríe Moraga and Gloria Anzaldúa,SUNY Press,Home Girls: A Black Feminist Anthology ,1983,255,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,
To Be Continued...,Kate,Rushin,,This Bridge Called My Back: Writings By Radical Women of Color (4ed),2015,109,Cherríe Moraga and Gloria Anzaldúa,SUNY Press,,,,,,,,,,,,,
Anew,Sangodare,Akinwale,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,179,Briona Simone Jones,The New Press,,,,,,,,,,,,,
Part IV: The Sacred,M. Jacqui,Alexander,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,135,Briona Simone Jones,The New Press,,,,,,,,,,,,,
Jambula Tree,Monica,Arac de Nyeko,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,22,Briona Simone Jones,The New Press,,,,,,,,,,,,,
Part I: Uses of the Erotic,Red Jordan,Arobateau,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,1,Briona Simone Jones,The New Press,,,,,,,,,,,,,
Living -Single-,Moya,Bailey,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,127,Briona Simone Jones,The New Press,,,,,,,,,,,,,
B.D. Woman's Blues,Lucille,Bogan,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,19,Briona Simone Jones,The New Press,,,,,,,,,,,,,
Fighting Racism: An Approach Through Ritual,SDiane,Bogus,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,171,Briona Simone Jones,The New Press,,,,,,,,,,,,,
The Myth and Tradition of the Black Bulldagger,SDiane,Bogus,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,287,Briona Simone Jones,The New Press,,,,,,,,,,,,,
How to Make Art,Cheryl,Boyce-Taylor,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,167,Briona Simone Jones,The New Press,,,,,,,,,,,,,
poem from _No Language Is Neutral_,Dionne,Brand,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,103,Briona Simone Jones,The New Press,,,,,,,,,,,,,
excerpt from _love conjure/blues_,Sharon,Bridgforth,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,188,Briona Simone Jones,The New Press,,,,,,,,,,,,,
Part V: Radical Futurities,Charlene A.,Carruthers,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,191,Briona Simone Jones,The New Press,,,,,,,,,,,,,
Foreword: We Won't Stop ,Cheryl,Clarke,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,-15,Briona Simone Jones,The New Press,,,,,,,,,,,,,
Kittatinny,Cheryl,Clarke,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,18,Briona Simone Jones,The New Press,,,,,,,,,,,,,
Notes on Speechlessness,Michelle,Cliff,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,121,Briona Simone Jones,The New Press,,,,,,,,,,,,,
Deviance as Resistance: A New Research Agenda for the Study of Black Politics,Cathy J.,Cohen,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,249,Briona Simone Jones,The New Press,,,,,,,,,,,,,
"Three for the Price of One: Notes from a Gay, Black Feminist",Anita,Cornwell,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,47,Briona Simone Jones,The New Press,,,,,,,,,,,,,
Erzulie-Oshun (Georgia Style),doris diosa,davenport,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,168,Briona Simone Jones,The New Press,,,,,,,,,,,,,
Never Mind the Misery/Where's the Magic?,doris diosa,davenport,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,280,Briona Simone Jones,The New Press,,,,,,,,,,,,,
Ain't I a Woman?,Kai,Davis,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,67,Briona Simone Jones,The New Press,,,,,,,,,,,,,
Interspecies,Alexis,De Veaux,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,137,Briona Simone Jones,The New Press,,,,,,,,,,,,,
Curtain 1983,Jewelle,Gomez,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,118,Briona Simone Jones,The New Press,,,,,,,,,,,,,
A Mona Lisa,Angelina Weld,Grimké,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,8,Briona Simone Jones,The New Press,,,,,,,,,,,,,
Mouths of Rain: Be Opened,Alexis Pauline,Gumbs,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,-19,Briona Simone Jones,The New Press,,,,,,,,,,,,,
her relationship to Africa lives in the part of her that is eight years,Alexis Pauline,Gumbs,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,148,Briona Simone Jones,The New Press,,,,,,,,,,,,,
The Shape of My Impact,Alexis Pauline,Gumbs,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,193,Briona Simone Jones,The New Press,,,,,,,,,,,,,
"aubade, in pieces, for my ex-lovers",JP,Howard,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,115,Briona Simone Jones,The New Press,,,,,,,,,,,,,
Angelina Weld Grimké: (1880-1958),Akasha Gloria T.,Hull,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,104,Briona Simone Jones,The New Press,,,,,,,,,,,,,
Part IV: The Sacred,Omotara,James,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,136,Briona Simone Jones,The New Press,,,,,,,,,,,,,
Celebrant,Terri,Jewell,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,40,Briona Simone Jones,The New Press,,,,,,,,,,,,,
Black Butch Woman,Janae,Johnson,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,116,Briona Simone Jones,The New Press,,,,,,,,,,,,,
"Introduction: No Hand, No Gaze",Briona Simone,Jones,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,-25,Briona Simone Jones,The New Press,,,,,,,,,,,,,
Love Poem,Audre,Lorde,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,9,Briona Simone Jones,The New Press,,,,,,,,,,,,,
Woman,Audre,Lorde,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,10,Briona Simone Jones,The New Press,,,,,,,,,,,,,
Uses of the Erotic: The Erotic as Power,Audre,Lorde,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,11,Briona Simone Jones,The New Press,,,,,,,,,,,,,
"A Ratchet Lens: Black Queer Youth, Agency, Hip Hop, and the Black Ratchet Imagination",Bettina,Love,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,226,Briona Simone Jones,The New Press,,,,,,,,,,,,,
"To be an orphan inside of ""blackness""",Dawn Lundy,Martin,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,66,Briona Simone Jones,The New Press,,,,,,,,,,,,,
You! Inez!,Alice Ruth,Moore Dunbar-Nelson,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,3,Briona Simone Jones,The New Press,,,,,,,,,,,,,
Without Name,Pauli,Murray,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,170,Briona Simone Jones,The New Press,,,,,,,,,,,,,
Metamorphosis,Pat,Parker,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,35,Briona Simone Jones,The New Press,,,,,,,,,,,,,
My Lover Is a Woman,Pat,Parker,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,36,Briona Simone Jones,The New Press,,,,,,,,,,,,,
Sunshine,Pat,Parker,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,39,Briona Simone Jones,The New Press,,,,,,,,,,,,,
funny,Pat,Parker,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,130,Briona Simone Jones,The New Press,,,,,,,,,,,,,
Finer with Time,Michelle,Parkerson,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,20,Briona Simone Jones,The New Press,,,,,,,,,,,,,
At Another Crossroads,Kate,Rushin,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,286,Briona Simone Jones,The New Press,,,,,,,,,,,,,
"Play Aunties and Dyke Bitches: Gender, Generation, and the Ethics of Black Queer Kinship",Savannah,Shange,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,294,Briona Simone Jones,The New Press,,,,,,,,,,,,,
A Meeting of the Sapphic Daughters,Ann Allen,Shockley,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,57,Briona Simone Jones,The New Press,,,,,,,,,,,,,
Archiving Black Lesbians in Practice: The Salsa Soul Sisters Archival Collection,Shawn(ta),Smith-Cruz,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,314,Briona Simone Jones,The New Press,,,,,,,,,,,,,
We Are Here,Pamela,Sneed,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,91,Briona Simone Jones,The New Press,,,,,,,,,,,,,
"Not Feminine as in Straight, but Femme as in Queer #AF: The Queer & Black Roots of My Femme Expression/Experience",Kaila,Story,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,69,Briona Simone Jones,The New Press,,,,,,,,,,,,,
Wolfpack,Mecca Jamilah,Sullivan,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,76,Briona Simone Jones,The New Press,,,,,,,,,,,,,
Can It Be?,Alice,Walker,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,4,Briona Simone Jones,The New Press,,,,,,,,,,,,,
Black Pearl: A poetic drama for four voices,Arisa,White,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,150,Briona Simone Jones,The New Press,,,,,,,,,,,,,
More Than Human: Black Feminisms of the Future in Jewelle Gomez's _The Gilda Stories_,Susana,Morris,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,318,Briona Simone Jones,The New Press,,,,,,,,,,,,,
