objectid,title,authorname,yearfirstpublished,display_template,subject,location,latitude,longitude,object_location,anthology01,anth01year,anth01startpage,anth01editor,anth01press,anthology02,anth02year,anth02startpage,anth02editor,anth02press,anthology03,anth03year,anth03startpage,Anth02Editor,anth03press,authorbio,authorborn,authorphoto
blacklesbianauthor027,Bird of Paradise,Alexis De Veaux,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,45,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor028,A Letter for Life,Arlene Williams,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,17,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor029,Johnnieruth,Becky Birtha,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,143,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor030,Be Still and Know,Brigitte M. Roberts,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,37,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor031,Mavis writes in her journal,Cheryl Clarke,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,185,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor032,Halfway Home: Interview with Katherine James,Denise Moore,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,105,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor033,Waiting to Exhale: Interview with Gina Taylor,Denise A. Moore,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,271,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor034,Lavender Sheep in the Fold,Donna Allegra,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,149,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor035,The Journey,Ekua Omosupe,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,233,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor036,we will not talk about this,Eva Yaa Asantewaa ,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,281,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor037,Bed of Thorns,"Gale ""Sky"" Edeawo",,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,41,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor038,1985: Memories of My Coming Out Year,Hope Massiah,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,5,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor039,Bits and Pieces,Imani Henry,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,49,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor040,I Lost It at the Movies,Jewelle Gomez,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,123,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor041,Q & A,Karen Thompson,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,223,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor042,Mommy Always Knows,"Kimberly ""Q"" Purnell",,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,195,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor043,It Happened One Sunday Afternoon,L.K. Barnett,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,139,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor044,"Black Triangles, Rainbows and Dykes",L.K. Barnett,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,67,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor045,From a Lesbian Womb Into a Lesbian World: Coming Out,Laura Irene Wayne,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,103,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor046,When I Was a Little Girl,Lena Nsomeka Gomes,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,283,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor047,"Me, Growing Up, (part 1)",Letta Neely,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,187,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor048,Without Thinking,Liza Messerly,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,291,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor049,Class Reunion,Liza Wesley,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,73,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor050,Man Royals and Sodomites: Some Thoughts on the Invisibility of Afro-Carribean Leesbians,Makeda Silvera,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,171,Lisa C. Moore,RedBone Press,Piece Of My Heart: A Lesbian of Colour Anthology,1991,,Makeda Silvera,Sister Vision,,,,,,,,
blacklesbianauthor051,A Path to Wholenesss,Martine C. Barbier,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,21,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor052,Spice,Mattie Richardson,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,225,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor053,Coming Out Story,Michelle Hunter,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,93,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor054,This Is Not Done,Michelle Hunter,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,253,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor055,Letter to Carolyn,Michelle Wilkinson,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,161,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor056,cabaret,mistinguette,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,71,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor057,You ask why I stayed married all those years,mistinguette,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,293,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor058,untitled,Nailah Taliba Tulinegwe,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,265,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor059,untitled (4/'91),Renita Martin,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,269,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor060,The Woman in Me,Roxanne Gay,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,245,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor061,that beat,sharon bridgforth,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,227,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor062,Mothers Know,Shay Youngblood,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,197,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor063,The Making of an Orphan: the death of a daughter's place in the family,sherece taffe,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,237,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor064,And Now They Know,Sheree Slaughter,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,35,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor065,No Half Steppin',Shilanda Woolridge,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,203,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor066,A Short Account of My Behavior,Terri Jewell,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,31,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor067,Interview with Stephanie Byrd,Terri Jewell,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,129,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
